RepRapFirmware height map file v2 generated at 2021-05-14 19:05, min error -0.181, max error 0.540, mean 0.080, deviation 0.184
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,290.00,20.00,180.00,-1.00,40.00,40.00,8,5
  0.540,  0.464,  0.341,  0.171,  0.074,  0.065,  0.051,  0.004
  0.405,  0.361,  0.234,  0.089, -0.011, -0.040, -0.049, -0.106
  0.318,  0.269,  0.177,  0.057, -0.052, -0.109, -0.130, -0.147
  0.244,  0.191,  0.124,  0.019, -0.081, -0.143, -0.153, -0.034
  0.134,  0.084,  0.062, -0.015, -0.100, -0.167, -0.181,  0.222
